rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-77.420,-89.731,-93.920,-66.844,-72.700,628.800,0.000
-77.441,-88.497,-95.409,-66.771,-72.718,630.400,0.000
-77.462,-90.255,-97.648,-66.698,-72.755,632.000,0.000
-77.484,-88.770,-101.398,-66.624,-72.773,633.600,0.000
-77.505,-90.278,-102.638,-66.549,-72.791,635.200,0.000
-77.526,-89.043,-101.388,-66.474,-72.810,636.800,0.000
-77.547,-88.051,-100.377,-66.398,-72.828,638.400,0.000
-77.568,-88.309,-103.377,-66.322,-72.864,640.000,0.000
-77.589,-87.324,-109.866,-66.244,-72.882,641.600,0.000
-77.610,-87.332,-112.855,-66.166,-72.900,643.200,0.000
-77.631,-86.347,-110.855,-66.088,-72.936,644.800,0.000
-77.652,-86.355,-105.844,-66.008,-72.954,646.400,0.000
-77.673,-86.370,-108.844,-65.928,-72.972,648.000,0.000
-77.694,-86.377,-114.834,-65.848,-72.990,649.600,0.000
-77.715,-86.393,-119.834,-65.766,-73.026,651.200,0.000
-77.735,-86.900,-116.823,-65.684,-73.043,652.800,0.000
-77.756,-86.415,-119.323,-65.601,-73.061,654.400,0.000
-77.776,-86.673,-111.812,-65.517,-73.079,656.000,0.000
-77.797,-86.188,-103.812,-65.432,-73.114,657.600,0.000
-77.817,-86.696,-99.801,-65.346,-73.131,659.200,0.000
-77.838,-85.961,-102.051,-65.260,-73.149,660.800,0.000
-77.858,-86.468,-105.290,-65.173,-73.184,662.400,0.000
-77.879,-85.726,-108.040,-65.084,-73.201,664.000,0.000
-77.899,-86.241,-116.029,-64.995,-73.219,665.600,0.000
-77.919,-85.748,-115.779,-64.905,-73.253,667.200,0.000
-77.939,-86.264,-108.269,-64.814,-73.271,668.800,0.000
-77.960,-85.771,-104.269,-64.722,-73.288,670.400,0.000
-77.980,-85.786,-102.258,-64.630,-73.322,672.000,0.000
-78.000,-85.793,-103.758,-64.536,-74.340,673.600,0.000
-78.020,-86.058,-113.747,-64.441,-75.357,675.200,0.000
-78.040,-86.066,-110.747,-64.345,-75.891,676.800,0.000
-78.060,-86.331,-102.236,-64.248,-76.908,678.400,0.000
-78.080,-86.338,-99.736,-64.150,-76.425,680.000,0.000
-78.099,-86.353,-96.736,-64.050,-77.459,681.600,0.000
-78.119,-86.610,-96.725,-63.950,-78.475,683.200,0.000
-78.139,-86.625,-96.725,-63.848,-79.509,684.800,0.000
-78.159,-87.133,-96.714,-63.746,-79.526,686.400,0.000
-78.178,-86.647,-99.214,-63.642,-81.043,688.000,0.000
-78.198,-87.155,-114.203,-63.536,-79.576,689.600,0.000
-78.217,-86.670,-140.953,-63.430,-79.593,691.200,0.000
-78.237,-88.177,-141.953,-63.322,-78.626,692.800,0.000
-78.256,-88.942,-143.192,-63.212,-79.643,694.400,0.000
-78.276,-89.949,-124.192,-63.157,-79.659,696.000,0.000
-78.295,-90.714,-105.681,-63.046,-79.692,697.600,0.000
-78.315,-90.221,-100.681,-62.933,-79.708,699.200,0.000
-78.334,-91.486,-97.181,-62.819,-79.741,700.800,0.000
-78.353,-92.993,-93.670,-62.703,-79.758,702.400,0.000
-78.372,-94.008,-93.670,-62.586,-79.774,704.000,0.000
-78.391,-93.522,-91.670,-62.467,-79.806,705.600,0.000
-78.411,-94.029,-90.659,-62.346,-77.823,707.200,0.000
-78.430,-96.544,-90.659,-62.224,-76.855,708.800,0.000
-78.449,-96.551,-93.659,-62.100,-77.371,710.400,0.000
-78.468,-99.566,-93.648,-61.974,-77.153,712.000,0.000
